gripper_type,object_type,rel_x,rel_y,rel_z,roll,pitch,yaw,success
ThreeFingerGripper,Cube,-0.20154672644131258,0.19762702871492024,1.9370739799171315,3.141591231971692,7.939575410435899e-06,-5.233977052321848e-07,1
ThreeFingerGripper,Cube,-1.2251996501018259,-0.562796307312187,1.4343027743005794,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,-0.413168350335923,0.8355367277103276,1.7266054251241914,3.141591231971692,7.939575410435684e-06,-5.233977052321836e-07,0
ThreeFingerGripper,Cube,-1.473814055494314,-0.20047961653993984,1.294135374835777,3.141591231971692,7.939575410435636e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,1.2055586375495893,-0.08969037412455219,1.5503877048289951,3.141591231971692,7.939575410435836e-06,-5.233977052322386e-07,1
ThreeFingerGripper,Cube,1.5182497309606933,-0.398698306107022,1.1964318157856466,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,0
ThreeFingerGripper,Cube,0.23342421411452802,0.015556959427989589,1.9433647835925045,3.141591231971692,7.939575410435821e-06,-5.233977052322056e-07,1
ThreeFingerGripper,Cube,0.6052765437886195,-0.8161147022332433,1.679765617970547,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,0.05201283429059579,-0.5403704379054132,1.8820082141817116,3.141591231971692,7.939575410435618e-06,-5.233977052322063e-07,1
ThreeFingerGripper,Cube,-0.2701761929578368,0.7632982527451325,1.7858588975009186,3.141591231971692,7.939575410435684e-06,-5.233977052321836e-07,0
ThreeFingerGripper,Cube,1.526811811575606,0.7983144357683003,0.9727419809501042,3.141591231971692,7.939575410435968e-06,-5.233977052322398e-07,0
ThreeFingerGripper,Cube,0.08496619671780288,-0.04349205326260188,1.954815106284473,3.141591231971692,7.939575410435445e-06,-5.233977052321841e-07,1
ThreeFingerGripper,Cube,1.064238832493879,0.32724065444275413,1.6185121115648826,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,1
ThreeFingerGripper,Cube,-0.63216046345611,0.685666917228389,1.7263408135548655,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,-0.3056753134967556,-0.43382734822567787,1.8853980696250021,3.141591231971692,7.939575410435474e-06,-5.233977052322132e-07,0
ThreeFingerGripper,Cube,-0.703094741694294,0.7117522820181118,1.688875366633073,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,-0.27608433654049036,0.4153127888230568,1.8939195229002315,3.141591231971692,7.939575410435474e-06,-5.233977052322132e-07,1
ThreeFingerGripper,Cube,1.2740240085821495,0.7732024288725206,1.2908937774282174,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,-1.2368598637028396,1.1638087637898813,1.0133737044724083,3.141591231971692,7.939575410435757e-06,-5.233977052322417e-07,0
ThreeFingerGripper,Cube,0.4068571467605423,0.45986079501134447,1.8605109249645748,3.141591231971692,7.939575410435474e-06,-5.233977052322132e-07,0
ThreeFingerGripper,Cube,0.01006343513301123,0.005004551429429881,1.9570625232284973,3.141591231971692,7.939575410435909e-06,-5.233977052321906e-07,1
ThreeFingerGripper,Cube,1.26433059511825,1.0136545782393651,1.12926019247226,3.141591231971692,7.939575410435757e-06,-5.233977052322417e-07,0
ThreeFingerGripper,Cube,-0.5745591986727756,1.030084300407483,1.5722746097658922,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,1
ThreeFingerGripper,Cube,-0.23024959841362563,1.4606866691218094,1.3037120308253058,3.141591231971692,7.939575410436043e-06,-5.233977052321917e-07,0
ThreeFingerGripper,Cube,-1.4144582467394726,0.6631290474218325,1.2059204674096078,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,1.0502259382883417,-1.135547941012572,1.2249886234039906,3.141591231971692,7.939575410435757e-06,-5.233977052322417e-07,0
ThreeFingerGripper,Cube,0.07610407960198882,0.4936590507816894,1.8937172111760796,3.141591231971692,7.939575410435777e-06,-5.23397705232171e-07,1
ThreeFingerGripper,Cube,0.41489627587025735,0.6314118598349775,1.8088987572046755,3.141591231971692,7.939575410435684e-06,-5.233977052321836e-07,0
ThreeFingerGripper,Cube,0.035456597205175897,-0.009506206077997256,1.9567571919291333,3.141591231971692,7.939575410435896e-06,-5.233977052322004e-07,1
ThreeFingerGripper,Cube,-0.3565973959676438,-0.3826974332953643,1.887477669998042,3.141591231971692,7.939575410435474e-06,-5.233977052322132e-07,0
ThreeFingerGripper,Cube,0.16221610710489762,0.5311019887505175,1.8784521673130907,3.141591231971692,7.93957541043572e-06,-5.233977052321893e-07,0
ThreeFingerGripper,Cube,1.1611149800804472,-0.8251434683530274,1.3609995657553287,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,0.5140578045733476,0.35011167938995524,1.8579272600206853,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,1.4223816926939472,-0.9453669639272501,0.9978207702147889,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,-0.5775182663360098,0.3160594963603742,1.8456329223836423,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,-0.09123758005320605,-0.7023862746079579,1.8274761503555141,3.141591231971692,7.93957541043585e-06,-5.233977052322142e-07,0
ThreeFingerGripper,Cube,-0.6705452463234587,-1.3939079030363166,1.2249226343653152,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,1.1016325778925828,0.17285152394953984,1.6173737567857114,3.141591231971692,7.939575410435636e-06,-5.233977052322406e-07,1
ThreeFingerGripper,Cube,-1.5660685060325956,-0.32499204978431956,1.1578475499860583,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,0
ThreeFingerGripper,Cube,0.40788813253354084,0.07315511006385844,1.9136921175342576,3.141591231971692,7.93957541043569e-06,-5.233977052321948e-07,1
ThreeFingerGripper,Cube,1.1458508515464965,0.4683343157074876,1.5279821969148764,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,1
ThreeFingerGripper,Cube,-0.016589076250816494,-0.10723856817161184,1.9541480963426954,3.141591231971692,7.939575410435948e-06,-5.23397705232188e-07,1
ThreeFingerGripper,Cube,1.5657602296591735,0.5124182728713899,1.0910355562152216,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,0.07994417335236156,-0.816650723204225,1.7810157976998013,3.141591231971692,7.93957541043585e-06,-5.233977052322142e-07,1
ThreeFingerGripper,Cube,-1.3990000392821744,0.15541812952009196,1.3778838575451184,3.141591231971692,7.939575410435636e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,-1.5817169128352946,0.04617226120911944,1.1802208566458432,3.141591231971692,7.93957541043533e-06,-5.23397705232316e-07,0
ThreeFingerGripper,Cube,1.4330285357438162,-0.5342761513063217,1.2458837250310846,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,-0.8593898989951015,0.48083502180566173,1.6978544050590063,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,0.44102336121921903,-0.2441207713421503,1.892527792700163,3.141591231971692,7.93957541043584e-06,-5.233977052321591e-07,1
ThreeFingerGripper,Cube,1.6492633298817039,0.33196668986540767,1.038634383591659,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,1
ThreeFingerGripper,Cube,0.26369200718201447,-0.2195724519283914,1.9274378589555754,3.141591231971692,7.93957541043584e-06,-5.233977052321591e-07,0
ThreeFingerGripper,Cube,-0.7531619317590984,1.348009398942249,1.228163643715856,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,0.6194621584236474,-0.2640790828042786,1.8403171561188627,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,0.02062140321025064,0.45359682238189003,1.9048684222706957,3.141591231971692,7.939575410435686e-06,-5.233977052321854e-07,1
ThreeFingerGripper,Cube,-0.37693148255137976,1.2129893229250024,1.5019499862039574,3.141591231971692,7.939575410435982e-06,-5.233977052322054e-07,0
ThreeFingerGripper,Cube,-0.013386391462830586,-0.23919304079104212,1.9426941186309183,3.141591231971692,7.939575410436045e-06,-5.233977052322095e-07,1
ThreeFingerGripper,Cube,0.7216170106211062,0.02581872872734056,1.8221953324798197,3.141591231971692,7.939575410435794e-06,-5.23397705232186e-07,0
ThreeFingerGripper,Cube,-0.7920716197448046,-0.3695481325291463,1.7559982935086402,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,0.12465410669235764,-0.4867807183308226,1.8929416722449288,3.141591231971692,7.939575410435777e-06,-5.23397705232171e-07,1
ThreeFingerGripper,Cube,-0.1788839491374019,-0.7924534955741394,1.7846656357805781,3.141591231971692,7.93957541043572e-06,-5.233977052321893e-07,0
ThreeFingerGripper,Cube,-0.2755047640884096,0.12078309607799224,1.934341804961609,3.141591231971692,7.93957541043569e-06,-5.233977052321948e-07,1
ThreeFingerGripper,Cube,-0.9758423039314765,-0.5260968806784804,1.621712170641348,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,1
ThreeFingerGripper,Cube,-1.4073379458972937,-0.3058782540766748,1.3448396528143507,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,0
ThreeFingerGripper,Cube,-0.09744823378050167,-0.5801332833501505,1.868624647160347,3.141591231971692,7.93957541043585e-06,-5.233977052322142e-07,1
ThreeFingerGripper,Cube,-0.18782574919985376,-1.5809212337251912,1.1676349145321692,3.141591231971692,7.939575410436043e-06,-5.233977052321917e-07,0
ThreeFingerGripper,Cube,-1.43161883230082,-0.0017472091181687248,1.3536841802964075,3.141591231971692,7.939575410435926e-06,-5.23397705232224e-07,0
ThreeFingerGripper,Cube,0.5096657805887148,-0.04485233041448548,1.8905441964778342,3.141591231971692,7.939575410435555e-06,-5.233977052322623e-07,1
ThreeFingerGripper,Cube,-0.13387368652628498,0.7405221920770596,1.8101199645576072,3.141591231971692,7.93957541043572e-06,-5.233977052321893e-07,1
ThreeFingerGripper,Cube,0.27929282565696517,-0.324648536353822,1.9107058552448135,3.141591231971692,7.939575410435474e-06,-5.233977052322132e-07,1
ThreeFingerGripper,Cube,-0.028174323863331692,-0.7866385711114132,1.7956820801587396,3.141591231971692,7.93957541043575e-06,-5.233977052321979e-07,0
ThreeFingerGripper,Cube,-0.7548609429688982,0.3168000838410287,1.7818742028947152,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,-0.8895712383236648,-0.9641107112985291,1.4667804665482544,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,1.3918306494134298,0.9072747296583407,1.0704946758453215,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,0.8133044861075965,-0.46675665161217783,1.7236371308569765,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,0.5686500216739693,1.2911089315504543,1.3747243255787116,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,0.23220759805300295,-1.3969340185516577,1.3694165598884818,3.141591231971692,7.939575410436043e-06,-5.233977052321917e-07,0
ThreeFingerGripper,Cube,-0.4647019433661612,-0.23684113156179964,1.8878861986071673,3.141591231971692,7.93957541043584e-06,-5.233977052321591e-07,1
ThreeFingerGripper,Cube,-1.3723610874281738,0.17916494765664065,1.400882320227265,3.141591231971692,7.939575410435636e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,0.8040528371158182,-0.007426115577940026,1.7883352744955234,3.141591231971692,7.939575410435672e-06,-5.233977052322189e-07,1
ThreeFingerGripper,Cube,1.7091333900893113,0.1368871364656163,0.9867181782834166,3.141591231971692,7.939575410435636e-06,-5.233977052322406e-07,1
ThreeFingerGripper,Cube,-0.728872305444671,-1.4495105596450304,1.1265656141165439,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,1.0927337696306514,-0.4442311204826018,1.5722077136350068,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,1
ThreeFingerGripper,Cube,-0.01166863088454533,-0.2570432261885443,1.940473176064084,3.141591231971692,7.9395754104359e-06,-5.233977052321981e-07,0
ThreeFingerGripper,Cube,-0.1775201170273998,-0.5477054837903096,1.8724283011697975,3.141591231971692,7.93957541043572e-06,-5.233977052321893e-07,0
ThreeFingerGripper,Cube,0.6439148686196903,0.8263321631341174,1.660781069706199,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,-0.6231242592267613,0.1572366460200715,1.8510298358961579,3.141591231971692,7.93957541043575e-06,-5.233977052321619e-07,0
ThreeFingerGripper,Cube,-0.9111454462246426,0.3619226309045863,1.7003168881156123,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,-1.3241873112930438,1.021044982666579,1.054361067624309,3.141591231971692,7.939575410435757e-06,-5.233977052322417e-07,0
ThreeFingerGripper,Cube,0.23630158554835082,-0.8278887132637675,1.7622981709058292,3.141591231971692,7.93957541043572e-06,-5.233977052321893e-07,1
ThreeFingerGripper,Cube,-1.0880373803823171,-0.9833909222610553,1.3169162350215593,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,1.5396649196687375,-0.44310128093036405,1.1542130358106046,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,0
ThreeFingerGripper,Cube,-0.17044010498761653,-0.2490743252678038,1.934190966874233,3.141591231971692,7.939575410435899e-06,-5.233977052321848e-07,0
ThreeFingerGripper,Cube,-0.3386501425446395,0.04982288267015929,1.927584808984349,3.141591231971692,7.93957541043547e-06,-5.233977052322471e-07,1
ThreeFingerGripper,Cube,0.20308989410085695,-1.028105474623167,1.6605474927114023,3.141591231971692,7.939575410436043e-06,-5.233977052321917e-07,1
ThreeFingerGripper,Cube,0.25518409399962844,1.506686461570601,1.247356662519678,3.141591231971692,7.939575410435982e-06,-5.233977052322054e-07,0
ThreeFingerGripper,Cube,0.6848974941126428,0.16278741931904447,1.8291026527740344,3.141591231971692,7.93957541043575e-06,-5.233977052321619e-07,1
ThreeFingerGripper,Cube,0.06085692951513084,0.45701144143282113,1.9032279917966821,3.141591231971692,7.939575410435706e-06,-5.2339770523218e-07,1
ThreeFingerGripper,Cube,0.7365111080704321,0.5770033916702144,1.7247532705996207,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,0.2922761647414866,-1.566313891682881,1.1659097063459412,3.141591231971692,7.939575410435982e-06,-5.233977052322054e-07,0
ThreeFingerGripper,Cube,0.898275177713901,1.0016780368894165,1.4368722798471505,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,0.2013254593590755,0.7219689021513231,1.8113403725798214,3.141591231971692,7.93957541043572e-06,-5.233977052321893e-07,0
ThreeFingerGripper,Cube,-0.6775975996921787,-0.9247548773490651,1.5959014067425554,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,0.04114604184735949,-0.04357459313913602,1.9561959661818544,3.141591231971692,7.939575410435547e-06,-5.233977052322074e-07,0
ThreeFingerGripper,Cube,-0.8329852348432549,0.7800554298056529,1.59954622048764,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
ThreeFingerGripper,Cube,0.34484329006728426,0.10220115736403856,1.9244878607671494,3.141591231971692,7.93957541043569e-06,-5.233977052321948e-07,1
ThreeFingerGripper,Cube,0.1347730304772014,0.14047447609370203,1.947597366028676,3.141591231971692,7.939575410435899e-06,-5.233977052321848e-07,1
ThreeFingerGripper,Cube,-0.051300897735031825,-0.6218164332156548,1.8572815560312934,3.141591231971692,7.939575410435618e-06,-5.233977052322063e-07,1
ThreeFingerGripper,Cube,0.37108785234218816,1.4580422443150456,1.274822126948799,3.141591231971692,7.939575410435982e-06,-5.233977052322054e-07,0
ThreeFingerGripper,Cube,0.07053852064495823,-0.16885769583629973,1.948704350508651,3.141591231971692,7.939575410435792e-06,-5.233977052321593e-07,0
ThreeFingerGripper,Cube,-1.3837045283671665,-0.7594625127160641,1.1853358044391962,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,-0.9328609360057466,-0.30537578336240556,1.6996541795282711,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,0.07298232135959164,0.15349831752585505,1.949858994352026,3.141591231971692,7.939575410435792e-06,-5.233977052321593e-07,1
ThreeFingerGripper,Cube,-1.0427621352066285,-0.28183467618470487,1.6403100186365474,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,1
ThreeFingerGripper,Cube,0.0595731801253225,0.3027291556100119,1.9331523489739293,3.141591231971692,7.939575410435706e-06,-5.2339770523218e-07,1
ThreeFingerGripper,Cube,1.0300623498638737,0.06916280811983243,1.670041422352322,3.141591231971692,7.939575410435836e-06,-5.233977052322386e-07,1
ThreeFingerGripper,Cube,-0.6007333057470616,-1.1563596474164692,1.4743123816944057,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,0.7459412185465456,0.4771699219453341,1.7503818662769364,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,0.8151391569389884,-1.0297694402577926,1.4654452365290094,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,-0.137044249613451,-1.6972962291688365,1.0060954817926564,3.141591231971692,7.939575410436043e-06,-5.233977052321917e-07,0
ThreeFingerGripper,Cube,0.7139033303971334,-1.2067521898706592,1.383309790096677,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,0.6642627567067522,0.3173081838327042,1.8166830007132777,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,1
ThreeFingerGripper,Cube,0.21554134871358574,-0.31437610828049584,1.9204355398666149,3.141591231971692,7.939575410435687e-06,-5.233977052321732e-07,0
ThreeFingerGripper,Cube,0.6996044668926997,-0.07845142746148201,1.8290981736450755,3.141591231971692,7.939575410435604e-06,-5.233977052322033e-07,1
ThreeFingerGripper,Cube,-0.5477894546534827,0.3303313049087023,1.852036789284939,3.141591231971692,7.939575410435631e-06,-5.233977052322406e-07,0
ThreeFingerGripper,Cube,-0.3185563952258753,1.4735770844365592,1.271283066190664,3.141591231971692,7.939575410435982e-06,-5.233977052322054e-07,0
ThreeFingerGripper,Cube,0.024582551504564634,-0.3906591642788097,1.9184153469523832,3.141591231971692,7.939575410435686e-06,-5.233977052321854e-07,1
ThreeFingerGripper,Cube,-0.9890239644329233,-0.12626652794136398,1.6908437671926262,3.141591231971692,7.93957541043575e-06,-5.233977052321619e-07,1
ThreeFingerGripper,Cube,1.2220601579262809,-0.8218788334335082,1.3102698009504614,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,0.9718599303139692,1.212506486466765,1.2161878322288247,3.141591231971692,7.939575410435843e-06,-5.23397705232195e-07,0
ThreeFingerGripper,Cube,-1.0318099922919075,0.9740284077914714,1.3665750705090165,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,0.3002857517413037,0.47271160380726485,1.877086928747839,3.141591231971692,7.939575410435474e-06,-5.233977052322132e-07,0
ThreeFingerGripper,Cube,-0.013992419465228993,-0.15274781063970497,1.9512034952949324,3.141591231971692,7.939575410436045e-06,-5.233977052322095e-07,1
ThreeFingerGripper,Cube,-1.6714183159725327,-0.37379356053696045,0.9898759619731231,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,0
ThreeFingerGripper,Cube,-1.2222804501625741,0.5542276444452223,1.4399500730144994,3.141591231971692,7.939575410435794e-06,-5.233977052322586e-07,0
ThreeFingerGripper,Cube,-0.12418407221481875,0.01586093696597329,1.953171930105673,3.141591231971692,7.939575410435921e-06,-5.233977052321881e-07,0
ThreeFingerGripper,Cube,0.5608318416751343,-0.5361538210357591,1.800462440314511,3.141591231971692,7.939575410435806e-06,-5.233977052322059e-07,0
