gripper_type,object_type,rel_x,rel_y,rel_z,roll,pitch,yaw,success
TwoFingerGripper,Cube,-0.7677483086164617,-1.0043362418683273,1.5110358792751424,0.01172702627043226,0.851127936861132,0.8232890650541371,0
ThreeFingerGripper,Cube,0.07448588621725973,-0.22312580018688852,1.9432126040857833,3.141591231971692,7.939575410435792e-06,-5.233977052321593e-07,0
TwoFingerGripper,Cube,0.4904096445939192,-0.27837692530464764,1.8800937846001338,-0.1255272547404807,1.3767457196726043,2.575996947434019,1
TwoFingerGripper,Cube,-0.32121700088810223,0.591644391211352,1.8445270888904715,-0.0015786966834608507,1.196966473486489,-1.0445259938166451,0
ThreeFingerGripper,Cube,-0.04630112994835155,-0.15331417016520413,1.9506715171977427,3.141591231971692,7.939575410435835e-06,-5.233977052321956e-07,1
ThreeFingerGripper,Cube,-0.2929148958899989,0.21406234270363894,1.923912714344081,3.141591231971692,7.93957541043584e-06,-5.233977052321591e-07,1
TwoFingerGripper,Cube,-0.42909102511255826,-0.44507269270569144,1.8632879364797736,-0.031529716424648906,1.236496148459619,0.7075196504243402,1
ThreeFingerGripper,Cube,0.35250806010874564,0.04694775922743526,1.9252237059893613,3.141591231971692,7.93957541043547e-06,-5.233977052322471e-07,0
ThreeFingerGripper,Cube,1.1857192639600653,-0.28629649144249053,1.5420561155395625,3.141591231971692,7.93957541043572e-06,-5.233977052322542e-07,1
ThreeFingerGripper,Cube,-0.15607826122528104,1.4094204717347787,1.3674748301672872,3.141591231971692,7.939575410436043e-06,-5.233977052321917e-07,0
ThreeFingerGripper,Cube,0.2469772143159969,-0.43356889833599743,1.893849187587301,3.141591231971692,7.939575410435687e-06,-5.233977052321732e-07,1
ThreeFingerGripper,Cube,-0.4138592947149555,0.7700371643294931,1.7559168460682395,3.141591231971692,7.939575410435684e-06,-5.233977052321836e-07,0
